Algorithm,Parameters,Dataset,Fold,Description,Precision,Recall,F-measure,AUC,G-mean
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 1.0}",pima,1,Preliminary,0.604167,0.649254,0.625899,0.710627,0.707972
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 1.0}",pima,1,Preliminary,0.610294,0.619403,0.614815,0.703701,0.698634
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.1}",pima,1,Preliminary,0.58,0.649254,0.612676,0.698627,0.69688
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 10.0}",pima,1,Preliminary,0.553191,0.58209,0.567273,0.665045,0.659851
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 10.0}",pima,1,Preliminary,0.633803,0.671642,0.652174,0.731821,0.729342
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 10.0}",pima,1,Preliminary,0.610738,0.679104,0.64311,0.723552,0.722186
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.1}",pima,1,Preliminary,0.592814,0.738806,0.657807,0.733403,0.733383
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 1.0}",pima,1,Preliminary,0.62585,0.686567,0.654804,0.733284,0.731794
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.01}",pima,1,Preliminary,0.564103,0.656716,0.606897,0.692358,0.69144
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.1}",pima,1,Preliminary,0.622517,0.701493,0.659649,0.736746,0.735902
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.001}",pima,1,Preliminary,0.573248,0.671642,0.618557,0.701821,0.701172
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 10.0}",pima,1,Preliminary,0.609929,0.641791,0.625455,0.710896,0.707529
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.1}",pima,1,Preliminary,0.534247,0.58209,0.557143,0.655045,0.650969
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 1.0}",pima,1,Preliminary,0.623188,0.641791,0.632353,0.716896,0.712951
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.001}",pima,1,Preliminary,0.638298,0.671642,0.654545,0.733821,0.731182
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.01}",pima,1,Preliminary,0.477612,0.477612,0.477612,0.598806,0.586413
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.001}",pima,1,Preliminary,0.6,0.738806,0.662207,0.737403,0.737402
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 1.0}",pima,2,Preliminary,0.490066,0.552239,0.519298,0.622119,0.618182
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.01}",pima,1,Preliminary,0.621622,0.686567,0.652482,0.731284,0.729915
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.1}",pima,2,Preliminary,0.565789,0.641791,0.601399,0.688896,0.687283
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 10.0}",pima,2,Preliminary,0.56,0.626866,0.591549,0.681433,0.679245
